run_id,machine,CPU,GPU,python,platform,bench,version,dataset_rows,gpu_used,train_median_s,infer_median_s,auc,seed,timestamp,reference
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,3.0.4,full,True,9.8,0.05,0.82486,42,2025-08-29T19:51:45,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,3.0.4,full,False,45.61,1.03,0.82495,42,2025-08-29T19:54:47,True
REF_5,PC_CLAUDIO_2025,Intel i7-10750H,NVIDIA Quadro T2000,3.13.1,Windows-11-10.0.22621-SP0,xgboost,3.0.4,100000,True,1.29,0.01,0.81031,42,2025-09-13T20:09:58,True
REF_5,PC_CLAUDIO_2025,Intel i7-10750H,NVIDIA Quadro T2000,3.13.1,Windows-11-10.0.22621-SP0,xgboost,3.0.4,100000,False,1.41,0.01,0.81072,42,2025-09-13T20:10:05,True
REF_5,PC_CLAUDIO_2025,Intel i7-10750H,NVIDIA Quadro T2000,3.13.1,Windows-11-10.0.22621-SP0,xgboost,3.0.4,1000000,True,3.96,0.03,0.82262,42,2025-09-13T20:10:29,True
REF_5,PC_CLAUDIO_2025,Intel i7-10750H,NVIDIA Quadro T2000,3.13.1,Windows-11-10.0.22621-SP0,xgboost,3.0.4,1000000,False,8.43,0.14,0.82276,42,2025-09-13T20:11:05,True
REF_5,PC_CLAUDIO_2025,Intel i7-10750H,NVIDIA Quadro T2000,3.13.1,Windows-11-10.0.22621-SP0,xgboost,3.0.4,full,True,32.0,0.25,0.82505,42,2025-09-13T20:14:28,True
REF_5,PC_CLAUDIO_2025,Intel i7-10750H,NVIDIA Quadro T2000,3.13.1,Windows-11-10.0.22621-SP0,xgboost,3.0.4,full,False,93.24,1.49,0.82495,42,2025-09-13T20:21:02,True
REF_6,Notebook 2010,Intel i5-560M,"#N/A",3.13.7,Windows-10-10.0.19045-SP0,xgboost,3.0.4,100000,False,6.37,0.09,0.80892,42,2025-09-04T07:16:44,False
REF_6,Notebook 2010,Intel i5-560M,"#N/A",3.13.7,Windows-10-10.0.19045-SP0,xgboost,3.0.4,1000000,False,46.61,0.83,0.82227,42,2025-09-04T07:19:41,False
REF_6,Notebook 2010,Intel i5-560M,"#N/A",3.13.7,Windows-10-10.0.19045-SP0,xgboost,3.0.4,full,False,502.13,9.04,0.82489,42,2025-09-04T07:49:28,False
20250920T045745Z_EAFCE,Desktop-24F9IK9,AMD Ryzen 9 5900X @4.3GHz,Nvidia GTX 1080 8G OC,3.13.7,Windows-10-10.0.19045-SP0,xgboost,3.0.5,100000,True,1.51,0.01,0.80975,42,2025-09-20T06:58:09,False
20250920T045745Z_EAFCE,Desktop-24F9IK9,AMD Ryzen 9 5900X @4.3GHz,Nvidia GTX 1080 8G OC,3.13.7,Windows-10-10.0.19045-SP0,xgboost,3.0.5,100000,False,0.86,0.01,0.80875,42,2025-09-20T06:58:19,False
20250920T045745Z_EAFCE,Desktop-24F9IK9,AMD Ryzen 9 5900X @4.3GHz,Nvidia GTX 1080 8G OC,3.13.7,Windows-10-10.0.19045-SP0,xgboost,3.0.5,1000000,True,2.04,0.01,0.82293,42,2025-09-20T06:58:39,False
20250920T045745Z_EAFCE,Desktop-24F9IK9,AMD Ryzen 9 5900X @4.3GHz,Nvidia GTX 1080 8G OC,3.13.7,Windows-10-10.0.19045-SP0,xgboost,3.0.5,1000000,False,3.38,0.05,0.82268,42,2025-09-20T06:59:03,False
20250920T045745Z_EAFCE,Desktop-24F9IK9,AMD Ryzen 9 5900X @4.3GHz,Nvidia GTX 1080 8G OC,3.13.7,Windows-10-10.0.19045-SP0,xgboost,3.0.5,full,True,6.61,0.03,0.8248,42,2025-09-20T07:00:59,False
20250920T045745Z_EAFCE,Desktop-24F9IK9,AMD Ryzen 9 5900X @4.3GHz,Nvidia GTX 1080 8G OC,3.13.7,Windows-10-10.0.19045-SP0,xgboost,3.0.5,full,False,28.83,0.44,0.82461,42,2025-09-20T07:03:55,False
20250922T103551Z_A22F2,BVI IA  : BVI3D 102,Xeon 32vcpu,Nvidia L40S 8Q 8Gb,3.13.7,Windows-10-10.0.19045-SP0,xgboost,3.0.5,100000,True,1.56,0.01,0.80975,42,2025-09-22T12:36:05,True
20250922T103551Z_A22F2,BVI IA  : BVI3D 102,Xeon 32vcpu,Nvidia L40S 8Q 8Gb,3.13.7,Windows-10-10.0.19045-SP0,xgboost,3.0.5,100000,False,0.84,0.01,0.80875,42,2025-09-22T12:36:15,True
20250922T103551Z_A22F2,BVI IA  : BVI3D 102,Xeon 32vcpu,Nvidia L40S 8Q 8Gb,3.13.7,Windows-10-10.0.19045-SP0,xgboost,3.0.5,1000000,True,2.04,0.01,0.82293,42,2025-09-22T12:36:35,True
20250922T103551Z_A22F2,BVI IA  : BVI3D 102,Xeon 32vcpu,Nvidia L40S 8Q 8Gb,3.13.7,Windows-10-10.0.19045-SP0,xgboost,3.0.5,1000000,False,3.26,0.05,0.82268,42,2025-09-22T12:36:59,True
20250922T103551Z_A22F2,BVI IA  : BVI3D 102,Xeon 32vcpu,Nvidia L40S 8Q 8Gb,3.13.7,Windows-10-10.0.19045-SP0,xgboost,3.0.5,full,True,6.45,0.03,0.8248,42,2025-09-22T12:38:47,True
20250922T103551Z_A22F2,BVI IA  : BVI3D 102,Xeon 32vcpu,Nvidia L40S 8Q 8Gb,3.13.7,Windows-10-10.0.19045-SP0,xgboost,3.0.5,full,False,29.09,0.47,0.82461,42,2025-09-22T12:41:44,True
20250928T194646Z_96B4D,PC_LMENC_2021,AMD Ryzen 5 3600XT,NVIDIA GeForce RTX 2060 6GB,3.13.7,Linux-6.14.0-29-generic-x86_64-with-glibc2.39,xgboost,3.0.5,100000,True,0.69,0.0,0.80975,42,2025-09-28T21:47:36,True
20250928T194646Z_96B4D,PC_LMENC_2021,AMD Ryzen 5 3600XT,NVIDIA GeForce RTX 2060 6GB,3.13.7,Linux-6.14.0-29-generic-x86_64-with-glibc2.39,xgboost,3.0.5,100000,False,0.82,0.02,0.80963,42,2025-09-28T21:47:40,True
20250928T194646Z_96B4D,PC_LMENC_2021,AMD Ryzen 5 3600XT,NVIDIA GeForce RTX 2060 6GB,3.13.7,Linux-6.14.0-29-generic-x86_64-with-glibc2.39,xgboost,3.0.5,1000000,True,2.14,0.01,0.82293,42,2025-09-28T21:47:50,True
20250928T194646Z_96B4D,PC_LMENC_2021,AMD Ryzen 5 3600XT,NVIDIA GeForce RTX 2060 6GB,3.13.7,Linux-6.14.0-29-generic-x86_64-with-glibc2.39,xgboost,3.0.5,1000000,False,4.77,0.16,0.82306,42,2025-09-28T21:48:08,True
20250928T194646Z_96B4D,PC_LMENC_2021,AMD Ryzen 5 3600XT,NVIDIA GeForce RTX 2060 6GB,3.13.7,Linux-6.14.0-29-generic-x86_64-with-glibc2.39,xgboost,3.0.5,full,True,16.84,0.11,0.82511,42,2025-09-28T21:49:08,True
20250928T194646Z_96B4D,PC_LMENC_2021,AMD Ryzen 5 3600XT,NVIDIA GeForce RTX 2060 6GB,3.13.7,Linux-6.14.0-29-generic-x86_64-with-glibc2.39,xgboost,3.0.5,full,False,65.65,1.73,0.82495,42,2025-09-28T21:52:39,True
20251017T133314Z_17707,MAC_M4,Apple Silicon M4,['Apple M4 Pro'],3.13.8,macOS-15.7.1-arm64-arm-64bit-Mach-O,xgboost,3.0.5,100000,False,0.78,0.01,0.80983,42,2025-10-17T15:35:57,True
20251017T133314Z_17707,MAC_M4,Apple Silicon M4,['Apple M4 Pro'],3.13.8,macOS-15.7.1-arm64-arm-64bit-Mach-O,xgboost,3.0.5,1000000,False,2.14,0.05,0.82309,42,2025-10-17T15:36:06,True
20251017T133314Z_17707,MAC_M4,Apple Silicon M4,['Apple M4 Pro'],3.13.8,macOS-15.7.1-arm64-arm-64bit-Mach-O,xgboost,3.0.5,full,False,21.32,0.5,0.82472,42,2025-10-17T15:37:17,True
20251017T153806Z_7BEE7,MAC_M4,Apple Silicon M4,['Apple M4 Pro'],3.13.8,macOS-15.7.1-arm64-arm-64bit-Mach-O,xgboost,3.0.5,100000,False,0.76,0.01,0.80983,42,2025-10-17T17:38:12,False
20251017T153806Z_7BEE7,MAC_M4,Apple Silicon M4,['Apple M4 Pro'],3.13.8,macOS-15.7.1-arm64-arm-64bit-Mach-O,xgboost,3.0.5,1000000,False,2.09,0.05,0.82309,42,2025-10-17T17:38:20,False
20251017T153806Z_7BEE7,MAC_M4,Apple Silicon M4,['Apple M4 Pro'],3.13.8,macOS-15.7.1-arm64-arm-64bit-Mach-O,xgboost,3.0.5,full,False,20.58,0.5,0.82472,42,2025-10-17T17:39:28,False
20251028T094637Z_B2247,asoldano,Intel i7-11850H,['Intel Corporation TigerLake-H GT1 [UHD Graphics] (rev 01)'],3.13.7,Linux-6.17.4-200.fc42.x86_64-x86_64-with-glibc2.41,xgboost,3.0.5,100000,False,0.59,0.01,0.80963,42,2025-10-28T10:47:01,False
20251028T094637Z_B2247,asoldano,Intel i7-11850H,['Intel Corporation TigerLake-H GT1 [UHD Graphics] (rev 01)'],3.13.7,Linux-6.17.4-200.fc42.x86_64-x86_64-with-glibc2.41,xgboost,3.0.5,1000000,False,4.8,0.07,0.82306,42,2025-10-28T10:47:24,False
20251028T094637Z_B2247,asoldano,Intel i7-11850H,['Intel Corporation TigerLake-H GT1 [UHD Graphics] (rev 01)'],3.13.7,Linux-6.17.4-200.fc42.x86_64-x86_64-with-glibc2.41,xgboost,3.0.5,full,False,79.64,1.25,0.82495,42,2025-10-28T10:51:41,False
20251028T101805Z_AF0C2,asoldano,Intel i7-11850H,['Intel Corporation TigerLake-H GT1 [UHD Graphics] (rev 01)'],3.13.7,Linux-6.17.4-200.fc42.x86_64-x86_64-with-glibc2.41,xgboost,3.0.5,100000,False,0.59,0.01,0.80963,42,2025-10-28T11:18:16,True
20251028T101805Z_AF0C2,asoldano,Intel i7-11850H,['Intel Corporation TigerLake-H GT1 [UHD Graphics] (rev 01)'],3.13.7,Linux-6.17.4-200.fc42.x86_64-x86_64-with-glibc2.41,xgboost,3.0.5,1000000,False,7.01,0.13,0.82306,42,2025-10-28T11:18:46,True
20251028T101805Z_AF0C2,asoldano,Intel i7-11850H,['Intel Corporation TigerLake-H GT1 [UHD Graphics] (rev 01)'],3.13.7,Linux-6.17.4-200.fc42.x86_64-x86_64-with-glibc2.41,xgboost,3.0.5,full,False,86.95,1.26,0.82495,42,2025-10-28T11:23:27,True
20251028T103541Z_79F05,fedora,AMD Ryzen AI MAX+ 395,AMD Radeon 8060S (integrated),3.13.7,Linux-6.17.2-201.vanilla.fc42.x86_64-x86_64-with-glibc2.41,xgboost,3.0.5,100000,False,0.62,0.01,0.80963,42,2025-10-28T11:35:55,True
20251028T103541Z_79F05,fedora,AMD Ryzen AI MAX+ 395,AMD Radeon 8060S (integrated),3.13.7,Linux-6.17.2-201.vanilla.fc42.x86_64-x86_64-with-glibc2.41,xgboost,3.0.5,1000000,False,2.36,0.03,0.82306,42,2025-10-28T11:36:06,True
20251028T103541Z_79F05,fedora,AMD Ryzen AI MAX+ 395,AMD Radeon 8060S (integrated),3.13.7,Linux-6.17.2-201.vanilla.fc42.x86_64-x86_64-with-glibc2.41,xgboost,3.0.5,full,False,22.68,0.37,0.82495,42,2025-10-28T11:37:27,True
20251115T145658Z_6DBD1,warmachine123,AMD Ryzen 7 8700F,NVIDIA GeForce GTX 1660,3.13.9,Windows-11-10.0.26100-SP0,xgboost,3.0.5,100000,False,0.69,0.01,0.80926,42,2025-11-15T21:57:04,True
20251115T145658Z_6DBD1,warmachine123,AMD Ryzen 7 8700F,NVIDIA GeForce GTX 1660,3.13.9,Windows-11-10.0.26100-SP0,xgboost,3.0.5,100000,True,3.83,0.11,0.80975,42,2025-11-15T21:57:13,True
20251115T145658Z_6DBD1,warmachine123,AMD Ryzen 7 8700F,NVIDIA GeForce GTX 1660,3.13.9,Windows-11-10.0.26100-SP0,xgboost,3.0.5,1000000,False,3.99,0.09,0.823,42,2025-11-15T21:57:22,True
20251115T145658Z_6DBD1,warmachine123,AMD Ryzen 7 8700F,NVIDIA GeForce GTX 1660,3.13.9,Windows-11-10.0.26100-SP0,xgboost,3.0.5,1000000,True,3.42,0.04,0.82262,42,2025-11-15T21:57:31,True
20251115T145658Z_6DBD1,warmachine123,AMD Ryzen 7 8700F,NVIDIA GeForce GTX 1660,3.13.9,Windows-11-10.0.26100-SP0,xgboost,3.0.5,full,False,49.45,0.98,0.82483,42,2025-11-15T21:58:28,True
20251115T145658Z_6DBD1,warmachine123,AMD Ryzen 7 8700F,NVIDIA GeForce GTX 1660,3.13.9,Windows-11-10.0.26100-SP0,xgboost,3.0.5,full,True,23.75,0.2,0.82503,42,2025-11-15T21:59:00,True
20251122T125357Z_0CA3E,cs-617082112513-default,Intel(R) Xeon(R) CPU @ 2.20GHz,['Nessuna GPU trovata'],3.13.5,Linux-6.6.111+-x86_64-with-glibc2.39,xgboost,3.0.5,100000,False,2.91,0.06,0.80963,42,2025-11-22T12:54:47,False
20251122T125357Z_0CA3E,cs-617082112513-default,Intel(R) Xeon(R) CPU @ 2.20GHz,['Nessuna GPU trovata'],3.13.5,Linux-6.6.111+-x86_64-with-glibc2.39,xgboost,3.0.5,1000000,False,18.24,0.58,0.82306,42,2025-11-22T12:56:02,False
20251122T125357Z_0CA3E,cs-617082112513-default,Intel(R) Xeon(R) CPU @ 2.20GHz,['Nessuna GPU trovata'],3.13.5,Linux-6.6.111+-x86_64-with-glibc2.39,xgboost,3.0.5,full,False,182.96,6.27,0.82495,42,2025-11-22T13:06:00,False
20251117T083207Z_931B5,fedora,AMD Ryzen AI MAX+ 395,AMD Radeon 8060S (integrated),3.13.7,Linux-6.17.6-200.vanilla.fc42.x86_64-x86_64-with-glibc2.41,xgboost,3.0.5,100000,False,0.66,0.01,0.80963,42,2025-11-17T09:32:13,False
20251117T083207Z_931B5,fedora,AMD Ryzen AI MAX+ 395,AMD Radeon 8060S (integrated),3.13.7,Linux-6.17.6-200.vanilla.fc42.x86_64-x86_64-with-glibc2.41,xgboost,3.0.5,1000000,False,1.96,0.03,0.82306,42,2025-11-17T09:32:23,False
20251117T083207Z_931B5,fedora,AMD Ryzen AI MAX+ 395,AMD Radeon 8060S (integrated),3.13.7,Linux-6.17.6-200.vanilla.fc42.x86_64-x86_64-with-glibc2.41,xgboost,3.0.5,full,False,19.38,0.38,0.82495,42,2025-11-17T09:33:32,False
20251201T090917Z_81C78,saic,Intel(R) Core(TM) Ultra 9 275HX,NVIDIA GeForce RTX 5080 Laptop GPU,3.13.9,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,xgboost,3.0.5,100000,True,1.14,0.01,0.81023,42,2025-12-01T17:09:26,True
20251201T090917Z_81C78,saic,Intel(R) Core(TM) Ultra 9 275HX,NVIDIA GeForce RTX 5080 Laptop GPU,3.13.9,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,xgboost,3.0.5,100000,False,1.06,0.0,0.80963,42,2025-12-01T17:09:36,True
20251201T090917Z_81C78,saic,Intel(R) Core(TM) Ultra 9 275HX,NVIDIA GeForce RTX 5080 Laptop GPU,3.13.9,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,xgboost,3.0.5,1000000,True,1.81,0.01,0.82277,42,2025-12-01T17:09:46,True
20251201T090917Z_81C78,saic,Intel(R) Core(TM) Ultra 9 275HX,NVIDIA GeForce RTX 5080 Laptop GPU,3.13.9,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,xgboost,3.0.5,1000000,False,3.11,0.03,0.82306,42,2025-12-01T17:10:00,True
20251201T090917Z_81C78,saic,Intel(R) Core(TM) Ultra 9 275HX,NVIDIA GeForce RTX 5080 Laptop GPU,3.13.9,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,xgboost,3.0.5,full,True,8.5,0.05,0.82486,42,2025-12-01T17:10:36,True
20251201T090917Z_81C78,saic,Intel(R) Core(TM) Ultra 9 275HX,NVIDIA GeForce RTX 5080 Laptop GPU,3.13.9,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,xgboost,3.0.5,full,False,36.54,0.43,0.82495,42,2025-12-01T17:12:36,True
20251206T175528Z_6B605,Nish_Mega_PC,Intel(R) Core(TM) Ultra 9 275HX,['NVIDIA GeForce RTX 5070 Ti Laptop GPU (12227 MB)'],3.13.11,Windows-11-10.0.26200-SP0,xgboost,3.0.5,100000,False,0.48,0.0,0.80871,42,2025-12-06T12:56:13,True
20251206T175528Z_6B605,Nish_Mega_PC,Intel(R) Core(TM) Ultra 9 275HX,['NVIDIA GeForce RTX 5070 Ti Laptop GPU (12227 MB)'],3.13.11,Windows-11-10.0.26200-SP0,xgboost,3.0.5,1000000,False,2.82,0.03,0.82267,42,2025-12-06T12:56:31,True
20251206T175528Z_6B605,Nish_Mega_PC,Intel(R) Core(TM) Ultra 9 275HX,['NVIDIA GeForce RTX 5070 Ti Laptop GPU (12227 MB)'],3.13.11,Windows-11-10.0.26200-SP0,xgboost,3.0.5,full,False,38.87,0.37,0.82466,42,2025-12-06T12:58:46,True
