machine,CPU,GPU,python,platform,bench,model,gpu,wall_min_s,wall_med_s,wall_max_s,tok_min_s,tok_med_s,tok_max_s,seed,timestamp
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,deepseek-r1:8b,True,19.29,20.58,20.58,67.25,67.28,67.45,42,2025-07-23T21:37:09
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,deepseek-r1:8b,False,111.03,111.16,161.64,8.36,8.57,8.58,42,2025-07-23T21:43:33
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,deepseek-r1:14b,True,15.93,16.02,23.60,39.58,39.83,39.86,42,2025-07-23T21:44:29
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,deepseek-r1:14b,False,94.89,94.93,128.77,5.86,5.89,5.89,42,2025-07-23T21:49:48
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,phi3:3.8b,True,16.83,16.85,25.75,37.95,38.54,38.69,42,2025-07-24T06:55:41
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,phi3:3.8b,False,58.86,81.91,83.21,11.16,11.34,11.35,42,2025-07-24T06:59:25
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,qwen3:4b,True,60.96,61.38,61.43,22.96,23.10,23.67,42,2025-07-24T07:02:31
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,qwen3:4b,False,188.92,191.80,191.98,7.18,7.25,7.30,42,2025-07-24T07:12:36
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,qwen3:14b,True,355.40,396.04,397.49,3.72,3.73,3.78,42,2025-07-24T07:31:45
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,qwen3:14b,False,402.11,403.33,522.01,2.78,2.83,2.84,42,2025-07-24T07:53:53
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,gemma3:4b,True,26.94,26.97,34.40,20.44,20.50,20.52,42,2025-07-24T07:55:22
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,gemma3:4b,False,53.87,54.19,54.29,10.91,10.96,10.96,42,2025-07-24T07:58:05
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,gemma3:12b,True,80.74,84.19,101.65,4.97,5.01,5.19,42,2025-07-24T08:02:33
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,gemma3:12b,False,108.36,113.44,114.68,3.89,3.94,3.94,42,2025-07-24T08:08:10
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,gemma3n:e2b,True,15.05,15.07,27.44,18.82,18.97,19.02,42,2025-07-24T08:09:08
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,gemma3n:e2b,False,16.63,16.65,23.38,15.83,15.87,15.98,42,2025-07-24T08:10:05
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,deepseek-r1:8b,True,103.55,123.61,125.39,10.89,11.05,11.29,42,2025-07-24T08:15:58
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,deepseek-r1:8b,False,227.26,228.08,290.00,4.57,4.77,4.79,42,2025-07-24T08:28:24
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,deepseek-r1:14b,True,132.83,133.45,190.80,4.05,4.07,4.14,42,2025-07-24T08:36:02
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,deepseek-r1:14b,False,167.46,176.99,177.67,3.39,3.40,3.42,42,2025-07-24T08:44:45
