run_id,machine,CPU,GPU,python,platform,bench,version,model,gpu_used,wall_min_s,wall_med_s,wall_max_s,tok_min_s,tok_med_s,tok_max_s,seed,timestamp,reference
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,gemma3:4b,False,53.87,54.19,54.29,10.91,10.96,10.96,42,2025-07-24T07:58:05,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,gemma3:12b,True,80.74,84.19,101.65,4.97,5.01,5.19,42,2025-07-24T08:02:33,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,gemma3:12b,False,108.36,113.44,114.68,3.89,3.94,3.94,42,2025-07-24T08:08:10,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,gemma3n:e2b,True,15.05,15.07,27.44,18.82,18.97,19.02,42,2025-07-24T08:09:08,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,gemma3n:e2b,False,16.63,16.65,23.38,15.83,15.87,15.98,42,2025-07-24T08:10:05,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,deepseek-r1:8b,True,103.55,123.61,125.39,10.89,11.05,11.29,42,2025-07-24T08:15:58,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,deepseek-r1:8b,False,227.26,228.08,290.00,4.57,4.77,4.79,42,2025-07-24T08:28:24,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,deepseek-r1:14b,True,132.83,133.45,190.80,4.05,4.07,4.14,42,2025-07-24T08:36:02,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,deepseek-r1:14b,False,167.46,176.99,177.67,3.39,3.40,3.42,42,2025-07-24T08:44:45,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,phi3:3.8b,True,3.04,3.05,4.79,210.60,210.74,210.82,42,2025-07-26T12:08:53,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,phi3:3.8b,False,27.07,27.21,51.25,21.72,22.35,22.47,42,2025-07-26T12:10:47,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,qwen3:4b,True,7.67,7.69,10.03,167.70,167.86,168.18,42,2025-07-26T12:11:16,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,qwen3:4b,False,87.69,87.93,109.43,13.49,13.53,13.70,42,2025-07-26T12:16:27,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,qwen3:14b,True,14.41,14.44,16.37,68.66,68.82,69.15,42,2025-07-26T12:17:18,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,qwen3:14b,False,204.46,211.33,214.87,4.47,4.53,4.60,42,2025-07-26T12:28:51,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,gemma3:4b,True,2.53,2.54,5.63,167.40,171.22,171.55,42,2025-07-26T12:29:02,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,gemma3:4b,False,19.86,20.36,25.59,19.69,19.71,20.18,42,2025-07-26T12:30:15,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,gemma3:12b,True,5.51,5.52,8.74,74.54,75.85,75.88,42,2025-07-26T12:30:39,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,gemma3:12b,False,56.68,56.73,67.17,7.27,7.32,7.33,42,2025-07-26T12:33:57,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,gemma3n:e2b,True,3.32,3.34,9.01,60.29,63.48,63.94,42,2025-07-26T12:34:18,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,gemma3n:e2b,False,9.90,9.95,19.39,26.84,26.90,28.21,42,2025-07-26T12:35:00,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,deepseek-r1:8b,True,7.86,7.89,13.82,102.33,109.16,109.25,42,2025-07-26T12:35:30,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,deepseek-r1:8b,False,137.44,157.61,165.19,7.22,7.67,8.79,42,2025-07-26T12:43:52,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,deepseek-r1:14b,True,9.86,9.87,12.47,67.42,67.43,67.47,42,2025-07-26T12:44:27,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,ollama,0.9.6,deepseek-r1:14b,False,130.34,147.44,150.00,5.57,5.67,6.02,42,2025-07-26T12:52:13,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,phi3:3.8b,True,6.18,6.29,15.54,140.30,142.75,143.17,42,2025-08-29T19:55:17,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,phi3:3.8b,False,27.17,29.76,29.92,25.11,25.24,25.34,42,2025-08-29T19:56:47,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,qwen3:4b,True,13.45,13.56,17.90,111.36,111.51,112.33,42,2025-08-29T19:57:34,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,qwen3:4b,False,77.99,78.03,118.89,15.52,15.77,15.78,42,2025-08-29T20:02:11,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,qwen3:14b,True,25.94,25.98,29.26,41.25,41.26,41.27,42,2025-08-29T20:03:34,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,qwen3:14b,False,189.91,190.04,210.27,5.95,5.95,5.95,42,2025-08-29T20:13:27,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,gemma3:4b,True,5.51,5.58,7.25,108.92,110.84,111.13,42,2025-08-29T20:13:47,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,gemma3:4b,False,22.07,23.59,23.67,22.50,22.53,22.54,42,2025-08-29T20:14:59,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,gemma3:12b,True,11.96,11.97,14.08,44.07,44.11,44.47,42,2025-08-29T20:15:39,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,gemma3:12b,False,53.93,53.96,55.61,8.00,8.01,8.01,42,2025-08-29T20:18:25,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,gemma3n:e2b,True,4.18,4.22,7.00,99.28,99.48,101.77,42,2025-08-29T20:18:43,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,gemma3n:e2b,False,10.35,10.40,11.64,32.28,32.44,32.49,42,2025-08-29T20:19:17,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,deepseek-r1:8b,True,19.25,20.20,20.69,66.77,68.58,69.10,42,2025-08-29T20:20:20,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,deepseek-r1:8b,False,95.22,95.44,136.55,9.91,10.02,10.04,42,2025-08-29T20:25:49,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,deepseek-r1:14b,True,15.73,15.77,23.48,39.79,40.47,40.49,42,2025-08-29T20:26:46,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.11.8,deepseek-r1:14b,False,79.45,79.51,107.47,7.04,7.06,7.07,42,2025-08-29T20:31:15,True
